time_iso8601,stars_cumulative
2020-10-29 00:00:00+00:00,2
2020-10-30 00:00:00+00:00,5
2020-11-03 00:00:00+00:00,6
2020-11-07 00:00:00+00:00,7
2021-02-05 00:00:00+00:00,8
2021-02-15 00:00:00+00:00,9
2021-02-24 00:00:00+00:00,10
2021-08-19 00:00:00+00:00,11
2021-09-02 00:00:00+00:00,12
2021-09-20 00:00:00+00:00,13
2022-05-05 00:00:00+00:00,14
2022-05-16 00:00:00+00:00,15
2022-05-18 00:00:00+00:00,16
2022-08-01 00:00:00+00:00,17
2022-11-12 00:00:00+00:00,18
2022-12-23 00:00:00+00:00,19
2023-01-02 00:00:00+00:00,20
2024-11-12 00:00:00+00:00,21
